abs: false|float|int
acos: float
acosh: float
array_change_key_case: array
array_chunk: array|probably-null
array_column: array|false
array_combine: array|false
array_count_values: array
array_diff: mixed
array_diff_assoc: probably-null
array_diff_key: probably-null
array_diff_uassoc: probably-null
array_diff_ukey: probably-null
array_fill: array|false|probably-null
array_fill_keys: array
array_filter: array
array_flip: array
array_intersect: probably-null
array_intersect_assoc: probably-null
array_intersect_key: probably-null
array_intersect_uassoc: probably-null
array_intersect_ukey: probably-null
array_key_exists: bool
array_key_first: probably-null
array_key_last: probably-null
array_keys: array|probably-null
array_map: mixed
array_merge: probably-null
array_merge_recursive: probably-null
array_multisort: bool
array_pad: mixed
array_pop: mixed
array_product: int
array_push: false|int
array_rand: array|int|probably-null|string
array_reduce: mixed
array_replace: probably-null
array_replace_recursive: probably-null
array_reverse: array
array_search: probably-null
array_shift: mixed
array_slice: array
array_splice: array|probably-null
array_sum: int
array_udiff: probably-null
array_udiff_assoc: probably-null
array_udiff_uassoc: probably-null
array_uintersect: probably-null
array_uintersect_assoc: probably-null
array_uintersect_uassoc: probably-null
array_unique: mixed
array_unshift: int
array_values: array
array_walk: true
array_walk_recursive: true
arsort: bool
asin: float
asinh: float
asort: bool
assert: bool
assert_options: mixed
atan: float
atan2: float
atanh: float
base64_decode: false|probably-null|string
base64_encode: string
base_convert: false|probably-null|string
bcadd: string
bccomp: int
bcdiv: string
bcmod: string
bcmul: string
bcpow: string
bcpowmod: false|probably-null|string
bcscale: int
bcsqrt: probably-null|string
bcsub: string
bindec: false|probably-null
boolval: bool
bzcompress: int|probably-null|string
bzdecompress: false|int|probably-null|string
bzerrno: probably-null
bzerror: probably-null
bzerrstr: probably-null
bzopen: false|probably-null|resource
bzread: false|string
cal_days_in_month: false|int
cal_from_jd: array|false
cal_info: array|false|probably-null
cal_to_jd: false|int
call_user_func: mixed
call_user_func_array: mixed
ceil: false|float
checkdate: bool
chgrp: probably-null
chmod: bool
chown: probably-null
class_alias: bool|probably-null
class_exists: probably-null
class_implements: array|false
class_parents: array|false
class_uses: array|false
clearstatcache: probably-null
cli_get_process_title: null|probably-null|string
cli_set_process_title: bool
closelog: probably-null|true
collator_asort: probably-null
collator_compare: false|int
collator_create: null|probably-null
collator_get_attribute: false|int
collator_get_error_code: false|int
collator_get_error_message: false|string
collator_get_locale: false|string
collator_get_sort_key: false|string
collator_get_strength: false|int
collator_set_attribute: bool
collator_set_strength: bool
collator_sort: probably-null
collator_sort_with_sort_keys: bool
compact: array|probably-null
config_get_hash: array
connection_aborted: int
connection_status: int
constant: mixed
convert_cyr_string: string
convert_uudecode: false|string
convert_uuencode: false|string
cos: float
cosh: float
count: int
create_function: false|probably-null|string
crypt: string
ctype_alnum: bool|probably-null
ctype_alpha: bool|probably-null
ctype_cntrl: bool|probably-null
ctype_digit: bool|probably-null
ctype_graph: bool|probably-null
ctype_lower: bool|probably-null
ctype_print: bool|probably-null
ctype_punct: bool|probably-null
ctype_space: bool|probably-null
ctype_upper: bool|probably-null
ctype_xdigit: bool|probably-null
current: mixed
date: probably-null
date_add: false|object
date_create: false|probably-null
date_create_from_format: false|probably-null
date_create_immutable: false|probably-null
date_create_immutable_from_format: false|probably-null
date_date_set: false|object
date_default_timezone_get: probably-null|string
date_default_timezone_set: bool
date_diff: false|probably-null
date_format: false|string
date_get_last_errors: array|false|probably-null
date_interval_create_from_date_string: false|probably-null
date_interval_format: false|string
date_isodate_set: false|object
date_modify: false|object
date_offset_get: false|int|probably-null
date_parse: probably-null
date_parse_from_format: probably-null
date_sub: false|object
date_sun_info: array
date_sunrise: probably-null
date_sunset: probably-null
date_time_set: false|object
date_timestamp_get: false|int|probably-null
date_timestamp_set: false|object
date_timezone_get: false|probably-null
date_timezone_set: false|object
datefmt_format: false|probably-null
datefmt_get_datetype: false|int
datefmt_get_error_code: false|int
datefmt_get_error_message: false|string
datefmt_get_locale: false|string
datefmt_get_pattern: false|string
datefmt_get_timetype: false|int
datefmt_is_lenient: bool
datefmt_localtime: false|probably-null
datefmt_parse: false|probably-null
datefmt_set_lenient: false|probably-null
datefmt_set_pattern: bool
debug_backtrace: probably-null
debug_print_backtrace: probably-null
debug_zval_dump: probably-null
decbin: string
dechex: string
decoct: string
define: bool
defined: bool|probably-null
deg2rad: float
disk_free_space: false|float
disk_total_space: false|float
display_disabled_function: probably-null
dl: false|probably-null
dom_attr_is_id: bool|null|probably-null
dom_characterdata_append_data: null|true
dom_characterdata_delete_data: bool|null
dom_characterdata_insert_data: bool|null
dom_characterdata_replace_data: bool|null
dom_characterdata_substring_data: false|null|probably-null|string
dom_document_adopt_node: probably-null
dom_document_create_attribute: false|null|probably-null
dom_document_create_attribute_ns: false|null|probably-null
dom_document_create_cdatasection: false|null|probably-null
dom_document_create_comment: false|null|probably-null
dom_document_create_document_fragment: false|null|probably-null
dom_document_create_element: false|null|probably-null
dom_document_create_element_ns: false|null|probably-null
dom_document_create_entity_reference: false|null|probably-null
dom_document_create_processing_instruction: false|null|probably-null
dom_document_create_text_node: false|null|probably-null
dom_document_get_element_by_id: null|probably-null
dom_document_get_elements_by_tag_name: null|probably-null
dom_document_get_elements_by_tag_name_ns: null|probably-null
dom_document_import_node: false|null|probably-null
dom_document_normalize_document: null|probably-null
dom_document_relaxNG_validate_file: probably-null
dom_document_relaxNG_validate_xml: probably-null
dom_document_rename_node: probably-null
dom_document_save: false|int|null
dom_document_save_html: false|null|probably-null|string
dom_document_save_html_file: false|int|null
dom_document_savexml: false|null|probably-null|string
dom_document_schema_validate_file: probably-null
dom_document_schema_validate_xml: probably-null
dom_document_validate: bool|null|probably-null
dom_document_xinclude: false|int|null|probably-null
