abs: float|int|null
acos: float|null
acosh: float|null
array_change_key_case: array|null
array_chunk: array|null
array_column: array|false|null
array_combine: array|false|null
array_count_values: array|null
array_diff_assoc: null
array_diff_key: null
array_diff_uassoc: null
array_diff_ukey: null
array_fill: array|false|null
array_fill_keys: array|null
array_filter: array|null
array_flip: array|null
array_intersect: null
array_intersect_assoc: null
array_intersect_key: null
array_intersect_uassoc: null
array_intersect_ukey: null
array_key_exists: bool|null
array_key_first: null
array_key_last: null
array_keys: array|null
array_merge: null
array_merge_recursive: null
array_multisort: bool|null
array_product: int|null
array_push: false|int|null
array_rand: array|int|null|string
array_replace: null
array_replace_recursive: null
array_reverse: array|null
array_search: null
array_slice: array|null
array_splice: array|null
array_sum: int|null
array_udiff: null
array_udiff_assoc: null
array_udiff_uassoc: null
array_uintersect: null
array_uintersect_assoc: null
array_uintersect_uassoc: null
array_unshift: int|null
array_values: array|null
array_walk: null|true
array_walk_recursive: null|true
arsort: bool
asin: float|null
asinh: float|null
asort: bool
assert: bool
atan: float|null
atan2: float|null
atanh: float|null
base_convert: false|null|string
bcadd: null|string
bccomp: int|null
bcdiv: null|string
bcmod: null|string
bcmul: null|string
bcpow: null|string
bcpowmod: false|null|string
bcscale: int|null
bcsqrt: null|string
bcsub: null|string
bindec: null
boolval: bool|null
cal_days_in_month: false|int|null
cal_from_jd: array|false|null
cal_info: array|false|null
cal_to_jd: false|int|null
ceil: float|null
checkdate: bool
class_implements: array|false
class_parents: array|false
class_uses: array|false
closelog: null|true
collator_asort: null
collator_compare: false|int
collator_create: null
collator_get_attribute: false|int
collator_get_error_code: false|int
collator_get_error_message: false|string
collator_get_locale: false|string
collator_get_sort_key: false|string
collator_get_strength: false|int
collator_set_attribute: bool
collator_set_strength: bool
collator_sort: null
collator_sort_with_sort_keys: bool
compact: array|null
connection_aborted: int
connection_status: int
convert_cyr_string: null|string
convert_uudecode: false|null|string
convert_uuencode: false|null|string
cos: float|null
cosh: float|null
count: int|null
crypt: null|string
ctype_alnum: bool|null
ctype_alpha: bool|null
ctype_cntrl: bool|null
ctype_digit: bool|null
ctype_graph: bool|null
ctype_lower: bool|null
ctype_print: bool|null
ctype_punct: bool|null
ctype_space: bool|null
ctype_upper: bool|null
ctype_xdigit: bool|null
date: null
date_add: false|object
date_create: false|null
